term,domain,z,delta,count_domain,count_total,docfreq_domain,docfreq_total,ngram_len
density,CCE,4.786492255784192,0.5360878173779478,152.0,317.0,116,233,1
interfacial,CCE,4.7824413301689,1.103983913537336,49.0,79.0,29,43,1
annealing,CCE,4.754419864538589,1.4212848271704974,36.0,52.0,21,31,1
electron microscopy,CCE,4.730937607223865,1.5406265194061577,33.0,46.0,28,41,2
gas,CCE,4.730937607223865,1.5406265194061577,33.0,46.0,22,32,1
absorption,CCE,4.668849504306054,0.9923690662641533,54.0,91.0,33,57,1
pathways,CCE,4.656651684147433,1.3317877644842833,37.0,55.0,29,45,1
dielectric,CCE,4.649489275533618,1.1097279682493308,46.0,74.0,25,40,1
exceptional,CCE,4.648211483962021,2.247019805576075,26.0,31.0,18,23,1
atomic,CCE,4.645713295543685,0.9375325653347657,58.0,100.0,43,81,1
solar,CCE,4.641635466818462,1.9535310396783423,27.0,34.0,12,15,1
dynamics simulations,CCE,4.598724153797194,1.611539989054318,30.0,41.0,27,36,2
radiation,CCE,4.5878843144728085,1.672215082042662,29.0,39.0,15,24,1
interatomic,CCE,4.574610031850064,1.7416018349727338,28.0,37.0,20,29,1
chemically,CCE,4.552362123450698,2.2085591547852843,25.0,30.0,19,24,1
catalysts,CCE,4.549713490138261,3.2381949600709596,29.0,31.0,20,22,1
discovery,CCE,4.549316316853284,0.8712254728353708,62.0,110.0,37,70,1
gan,CCE,4.523444761621443,1.3646722092871508,34.0,50.0,8,12,1
devices,CCE,4.519029693985653,0.7015792280600124,86.0,165.0,68,125,1
thin,CCE,4.506299149454484,0.8425775558744979,64.0,115.0,38,69,1
binding,CCE,4.499028685371431,1.4787567912765915,31.0,44.0,18,25,1
insights,CCE,4.4943690151612845,0.8860356576182653,59.0,104.0,58,100,1
conversion,CCE,4.481716307002229,1.5780156204311009,29.0,40.0,21,29,1
conditions,CCE,4.461458716615999,0.5993374470802992,109.0,220.0,85,182,1
development of,CCE,4.442435382278752,1.2273910158326355,37.0,57.0,34,53,2
situ,CCE,4.421984813844054,2.6672110214169606,24.0,27.0,16,17,1
functional theory,CCE,4.421621930537516,0.9087226409940898,55.0,96.0,51,90,2
impact,CCE,4.407577656912124,0.9798277135967464,49.0,83.0,36,61,1
polymer,CCE,4.378247538849271,1.4462972002998082,30.0,43.0,19,26,1
sustainable,CCE,4.349133011974351,2.1267069009118806,23.0,28.0,15,20,1
in situ,CCE,4.340380300698233,2.6258850539644083,23.0,26.0,15,16,2
density functional theory,CCE,4.315867318924605,0.8905065138389077,54.0,95.0,51,90,3
degradation,CCE,4.31165779509997,1.2231370811795976,35.0,54.0,21,36,1
dft,CCE,4.307975696627407,0.8472493322293211,58.0,104.0,37,61,1
catalysis,CCE,4.282777289209517,4.073261164456349,36.0,37.0,27,28,1
mechanistic,CCE,4.2716411235008085,1.3370797983580154,31.0,46.0,25,40,1
oxides,CCE,4.2716411235008085,1.3370797983580154,31.0,46.0,21,31,1
microscopy,CCE,4.2682611598378175,0.8565273330995682,56.0,100.0,45,80,1
dissociation,CCE,4.255238539227422,2.5826703045742505,22.0,25.0,11,13,1
interatomic potentials,CCE,4.255238539227422,2.5826703045742505,22.0,25.0,16,19,2
protein,CCE,4.255238539227422,2.5826703045742505,22.0,25.0,10,13,1
active,CCE,4.245144279495237,0.8219797426804734,59.0,107.0,42,72,1
their,CCE,4.242756074386656,0.3650007609970807,238.0,545.0,173,421,1
nanostructures,CCE,4.241122194082075,2.0830251212297988,22.0,27.0,13,18,1
storage,CCE,4.239604108727649,1.1152778295822303,38.0,61.0,20,37,1
molecular dynamics simulations,CCE,4.217045981169699,1.6296327236958206,25.0,34.0,23,30,3
of materials,CCE,4.217045981169699,1.6296327236958206,25.0,34.0,21,30,2
activity,CCE,4.188439707709182,1.1943966196378968,34.0,53.0,21,33,1
reactive,CCE,4.178330573873774,2.25634892805445,21.0,25.0,15,19,1
free energy,CCE,4.178330573873774,2.25634892805445,21.0,25.0,13,17,2
nanoparticle,CCE,4.178330573873774,2.25634892805445,21.0,25.0,11,13,1
in materials,CCE,4.178330573873774,2.25634892805445,21.0,25.0,17,21,2
semiconductor,CCE,4.176811959971614,1.2183907783950128,33.0,51.0,26,40,1
substrate,CCE,4.176811959971614,1.2183907783950128,33.0,51.0,24,36,1
redox,CCE,4.166236606175229,2.537390938568876,21.0,24.0,8,10,1
charge,CCE,4.161743499652259,0.5413068454695775,113.0,235.0,55,114,1
optoelectronic,CCE,4.135362599219208,1.339343481467301,29.0,43.0,24,35,1
phase separation,CCE,4.128360997786557,2.037279194758513,21.0,26.0,14,17,2
materials discovery,CCE,4.073006444226778,2.4898453840215744,20.0,23.0,12,14,2
solvent,CCE,4.073006444226778,2.4898453840215744,20.0,23.0,13,15,1
mechanical,CCE,4.067920116768487,0.7543125171854692,62.0,116.0,36,70,1
the development,CCE,4.062353477244061,1.164794417530942,33.0,52.0,30,48,2
transient,CCE,4.062353477244061,1.164794417530942,33.0,52.0,19,33,1
insights into,CCE,4.049655881036026,1.1878812516651331,32.0,50.0,31,49,2
electrodes,CCE,4.04184941467289,1.8577399893271735,21.0,27.0,11,15,1
transmission electron,CCE,4.04184941467289,1.8577399893271735,21.0,27.0,21,27,2
silicon,CCE,4.037494163843837,1.21306095159008,31.0,48.0,19,32,1
pathway,CCE,4.026260344162582,1.0325798390671297,38.0,63.0,35,58,1
the process,CCE,4.010425664746838,1.9892677595594517,20.0,25.0,20,24,2
cooling,CCE,3.9944463020186087,1.3419513067288324,27.0,40.0,17,26,1
thin films,CCE,3.994325223899021,0.9510196917182387,42.0,72.0,25,44,2
formation of,CCE,3.994325223899021,0.9510196917182387,42.0,72.0,35,61,2
applications in,CCE,3.9849548740081,1.3838368784070774,26.0,38.0,23,35,2
nitride,CCE,3.975758772017349,1.4311436599520988,25.0,36.0,19,26,1
fiber,CCE,3.9751261943418656,2.439801050122975,19.0,22.0,6,8,1
temperature,CCE,3.971194852786954,0.4582705889106542,138.0,300.0,86,189,1
slow,CCE,3.966585748552064,1.485061868255194,24.0,34.0,19,29,1
temperatures,CCE,3.9657020746973455,0.7381647298869831,61.0,115.0,41,81,1
transmission electron microscopy,CCE,3.9597703928966177,2.1581747924910335,19.0,23.0,19,23,3
glass,CCE,3.9597703928966177,2.1581747924910335,19.0,23.0,11,14,1
segregation,CCE,3.946121035035345,1.6196735202869572,22.0,30.0,8,13,1
electronic,CCE,3.9217866922302203,0.41062897879136084,164.0,366.0,96,205,1
the development of,CCE,3.9193597653340335,1.1563988729823222,31.0,49.0,28,45,3
photoelectron,CCE,3.9143404490285,1.8096150303297716,20.0,26.0,17,22,1
monolayers,CCE,3.9143404490285,1.8096150303297716,20.0,26.0,11,17,1
design and,CCE,3.8868351405078028,1.9387584795761885,19.0,24.0,18,23,2
ice,CCE,3.8868351405078028,1.9387584795761885,19.0,24.0,6,8,1
nanoscale,CCE,3.8843197102900784,1.019427112873136,36.0,60.0,24,41,1
orientation,CCE,3.8810779654221186,1.2362109042613678,28.0,43.0,17,29,1
