term,domain,z,delta,count_domain,count_total,docfreq_domain,docfreq_total,ngram_len
of negative,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
of the material,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
that measures,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
are often limited,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
to leverage,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
scaling and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
speed and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
provide a unified,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
stiffness and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
that efficiently,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
with our,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
oscillatory,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
review the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
attention for,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
types and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
in a broad,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
inductive biases,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
millions,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
movement,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
a classical,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
are fundamentally,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
replace,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
u and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
statistical mechanics,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
for building,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
intercalated,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
phenomenology,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
transformer that,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
corrections to,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
estimation in,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
a certain,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
strong coupling between,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,3
this result,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
gauge fields,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
of the interlayer,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,3
in determining,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
more broadly,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
and optimized,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
states as,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
among these,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
by leveraging the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
for a broad,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
for adaptive,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
criterion for,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
millions of,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
in challenging,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
switch,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
striking,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
demonstrates that the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
structural phase,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
of strong,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
structural transition,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
for effective,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
delays,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
transition temperatures,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
of uncertainty,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
layers in,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
employs an,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
electron gases,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
transitions from,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
and linear,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
learning can,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
and reduce,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
of research,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
three key,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
attempts,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
properly,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
of visual,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
to achieve this,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
this challenge we,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
for downstream,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
confirming that,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
indistinguishable,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
generates a,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
more stable,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
conflicting,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
available in,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
interfaces with,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
to be the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,3
and real-time,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
that are not,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,3
represent the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
are designed,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
a continuum,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
the hierarchical,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
languages,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
in epitaxial,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
to use,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
reflects the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
an upper,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
of classical,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
and uncover,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
first comprehensive,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
a random,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
freezing,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
is extended,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
persistence,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
and validate,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
has not been,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
similar to the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
optimization problems,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
to explore the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
link between,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
combining a,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
suggesting the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
and enhancing,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
on our,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
the critical temperature,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
concentration of,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
expectations,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
the ratio,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
the size of,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
notoriously,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
can significantly,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
detector,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
making the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
of discrete,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
at different,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
we theoretically,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
separating,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
anticipate,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
dimensions and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
the construction,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
the superior,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
presents the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
formidable,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
we provide the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
it requires,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
systems can,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
a recent,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
on static,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
significantly improved,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
we adopt,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
violate,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
proxy,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
often rely on,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
recursive,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
to two,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
framework s,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
rate for,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
combining the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
we consider a,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
in time,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
we define,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
bloch,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
is taken,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
located at,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
the reported,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
exceeding the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
localize,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
planes,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
the representation,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
heart,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
a nonlinear,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
anisotropy and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
dynamics our,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
we are,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
observational,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
difficulty of,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
on one,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
the realization of,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
we apply this,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
on how,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
on four,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
longstanding,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
is largely,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
to extend,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
we believe,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
setups,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
previous studies,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
we bridge,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
a numerical,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
often rely,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
finite-dimensional,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
framework designed to,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
fresh,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
believe,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
brittle,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
composition of,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
the photon,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
apply this,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
a supervised,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
studies we,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
sector,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
limit for,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
valence band,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
which limits,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
construction of,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
inference time,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
is a critical,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
solutions of,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
solutions are,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
behavior of the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
evidence for a,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
for stable,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
magnetism and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
changes and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
be captured,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
be obtained,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
analytical expressions,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
training strategy,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
enabling rapid,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
for integration,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
regarding the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
and image,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
takes,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
analogue,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
enabling robust,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
while retaining,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
knowledge from,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
approximated,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
duality,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
memory usage,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
diagnosis and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
seamless,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
and substantially,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
retains the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
at inference,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
algorithm and,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
domain of,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
and accurate,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
and generalizable,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
and accuracy,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
magnetic field is,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
to exhibit,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
of electromagnetic,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,2
reshape,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
superconducting gap,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
systems remains a,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
publication,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
non-invasive,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,1
been extensively,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
well understood,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
parameter is,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
limits the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
the trade-off between,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
verify that,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
been shown to,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
its potential to,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,3
to stabilize,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
proving,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
vicinity,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
the berry,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
calculations reveal that,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
refines,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,1
the valence band,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,5,3
evolution in,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
and analyze the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,3
explain the,CCE,-0.8984318523341367,-0.9746358402090607,1.0,6.0,1,6,2
spaces,CCE,-0.9141956848748319,-0.27831922846152324,15.0,52.0,15,42,1
class of,CCE,-0.9141956848748319,-0.27831922846152324,15.0,52.0,13,49,2
recognition,CCE,-0.9145011289657372,-0.3554066310359545,9.0,33.0,6,23,1
the local,CCE,-0.9145011289657372,-0.3554066310359545,9.0,33.0,7,27,2
could,CCE,-0.9145011289657372,-0.3554066310359545,9.0,33.0,9,33,1
score,CCE,-0.9145011289657372,-0.3554066310359545,9.0,33.0,5,18,1
theories,CCE,-0.9145011289657372,-0.3554066310359545,9.0,33.0,8,23,1
the entire,CCE,-0.9145011289657372,-0.3554066310359545,9.0,33.0,9,33,2
mixture-of-experts,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,6,1
personalization,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,1
streams,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,1
tokenizer,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,1
agent s,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,2
perceptual,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,1
flow and,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,2
controller,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,6,1
tailored to,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,2
time-series,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,1
phantom,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,1
address this issue,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,3
combinations of,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
strictly,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,1
tasks with,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
proportional to,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
team,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,1
solvable,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,1
pde,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,1
unified framework for,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,3
hallucinations,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,6,1
vital,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,1
spontaneous symmetry breaking,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,3
spontaneous symmetry,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,2
the quality of,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,3
quenched disorder,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,2
intervention,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,6,1
the triangular,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
image and,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,6,2
charge density wave,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,3
the true,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,2
are available at,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,3
of unconventional,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,2
and inference,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,2
vehicles,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,1
evaluate our,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,2
satellite imagery,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,2
the world,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
guarantees we,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,2
self-supervised learning,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,2
guarantee,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,1
globally,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,1
the expected,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,2
equipped,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,1
anatomical,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,1
secure,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,1
consistency and,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,2
iron-based,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,1
and spectral,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
hydrostatic,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,6,1
policy learning,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,2
physics-informed neural networks,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,3
improvement over,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
bit,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,1
setting where,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,2
patients,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,1
truth,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,1
gauge theories,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,5,2
learning a,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
privacy-preserving,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,1
regularity,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,1
and video,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,6,2
learner,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,1
classification and,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,2
post-training,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,6,1
and domain,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
in machine,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,8,2
autoencoders,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,1
standardized,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,9,1
multi-agent reinforcement,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,2
multi-agent reinforcement learning,CCE,-0.9151077469328418,-4.96113717535086,0.0,9.0,0,7,3
